"ID of parentid","ID of id2","ID of value"
3762,7357,7363
3762,7361,7365
3780,7357,7359
3780,7361,7362
3818,7355,7356
7620,7621,7622
7620,7623,7624
8029,7621,8030
8029,7623,8031
8157,7621,8158
8157,7623,8159
9104,7621,9105
9104,7623,9106
9109,7621,9110
9109,7623,9111
9184,7621,9185
9184,7623,9186
9235,7621,9236
9235,7623,9237
9240,7621,9241
9240,7623,9242
9378,7621,9379
9378,7623,9380
9754,7621,9755
9754,7623,9756
9843,7621,9844
9843,7623,9845
9977,7621,9978
9977,7623,9979
10818,10820,10821
10824,10829,10830
10902,7621,10903
10902,7623,10904
10909,7621,10910
10909,7623,10911
11033,7621,11034
11033,7623,11035
11072,10820,11073
11074,10829,11075
11209,7621,11210
11209,7623,11211
11215,7621,11216
11215,7623,11217
11406,7621,11407
11406,7623,11408
11412,7621,11413
11412,7623,11414
11711,7621,11712
11711,7623,11713
11737,10820,11738
11740,10829,11741
11794,7621,11795
11794,7623,11796
11859,10820,11860
11861,10829,11862
11878,7621,11879
11878,7623,11880
11901,7621,11902
11901,7623,11903
12408,7621,12409
12408,7623,12410
12481,7621,12482
12481,7623,12483
12489,7621,12490
12489,7623,12491
12878,7621,12879
12878,7623,12880
12924,7621,12925
12924,7623,12926
12929,7621,12930
12929,7623,12931
12953,12955,12956
12953,12958,12959
12984,12955,12985
12984,12958,12986
13000,12955,13001
13000,12958,13002
13092,7621,13093
13092,7623,13094
13111,7621,13112
13111,7623,13113
13134,7621,13135
13134,7623,13136
13149,7621,13150
13149,7623,13151
13153,7621,13154
13153,7623,13155
13164,7621,13165
13164,7623,13166
13172,12955,13173
13172,12958,13174
13177,12955,13178
13177,12958,13179
13215,12955,13216
13215,12958,13217
13219,12955,13220
13219,12958,13221
13286,7621,13287
13286,7623,13288
13294,7621,13295
13294,7623,13296
13298,7621,13299
13298,7623,13300
13302,7621,13303
13302,7623,13304
13307,7621,13308
13307,7623,13309
13326,7621,13327
13326,7623,13328
13335,7621,13336
13335,7623,13337
13339,7621,13340
13339,7623,13341
13343,7621,13344
13343,7623,13345
13463,10820,13464
13465,10829,13466
13506,10820,13507
13508,10829,13509
13549,10820,13550
13551,10829,13552
13821,12955,13822
13821,12958,13824
13877,12955,13878
13877,12958,13879
13905,12955,13906
13905,12958,13907
14083,12955,14084
14083,12958,14085
14094,12955,14095
14094,12958,14096
14150,12955,14151
14150,12958,14152
14435,12955,14436
14435,12958,14437
14465,12955,14466
14465,12958,14467
14539,12955,14540
14539,12958,14541
14573,12955,14574
14573,12958,14575
14594,12955,14595
14594,12958,14596
14614,12955,14615
14614,12958,14616
14634,12955,14635
14634,12958,14636
14654,12955,14655
14654,12958,14656
14674,12955,14675
14674,12958,14676
14694,12955,14695
14694,12958,14696
14714,12955,14715
14714,12958,14716
14734,12955,14735
14734,12958,14736
14752,12955,14753
14752,12958,14754
16070,10820,16071
16072,10829,16073
16623,7621,16624
16623,7623,16625
16814,12955,16815
16814,12958,16816
16821,12955,16822
16821,12958,16823
16828,12955,16829
16828,12958,16830
16835,12955,16836
16835,12958,16837
16842,12955,16843
16842,12958,16844
16849,12955,16850
16849,12958,16851
16854,12955,16855
16854,12958,16856
18284,7621,18285
18284,7623,18286
18422,7621,18423
18422,7623,18424
18429,7621,18430
18429,7623,18431
19075,7621,19076
19075,7623,19077
19134,7621,19135
19134,7623,19136
19145,7621,19146
19145,7623,19147
19230,7621,19231
19230,7623,19232
19234,7621,19235
19234,7623,19236
19238,7621,19239
19238,7623,19240
19242,7621,19243
19242,7623,19244
19246,7621,19247
19246,7623,19248
19250,7621,19251
19250,7623,19252
19254,7621,19255
19254,7623,19256
19258,7621,19259
19258,7623,19260
19988,7621,19989
19988,7623,19990
19994,7621,19995
19994,7623,19996
20098,7621,20099
20098,7623,20100
21379,12955,21380
21379,12958,21381
22231,7621,22232
22231,7623,22233
22281,7621,22282
22281,7623,22283
22351,7621,22352
22351,7623,22353
22393,7621,22394
22393,7623,22395
22632,7621,22633
22632,7623,22634
22647,7621,22648
22647,7623,22649
22654,7621,22655
22654,7623,22656
28670,7621,28671
28670,7623,28672
28674,7621,28675
28674,7623,28676
28678,7621,28679
28678,7623,28680
28698,7621,28699
28698,7623,28700
28702,7621,28703
28702,7623,28704
28707,7621,28708
28707,7623,28709
28711,7621,28712
28711,7623,28713
28716,7621,28717
28716,7623,28718
28720,7621,28721
28720,7623,28722
28724,7621,28725
28724,7623,28726
28729,7621,28730
28729,7623,28731
28733,7621,28734
28733,7623,28735
28738,7621,28739
28738,7623,28740
28742,7621,28743
28742,7623,28744
28747,7621,28748
28747,7623,28749
28751,7621,28752
28751,7623,28753
28756,7621,28757
28756,7623,28758
28766,7621,28767
28766,7623,28768
28772,7621,28773
28772,7623,28774
28782,7621,28783
28782,7623,28784
28791,7621,28792
28791,7623,28793
28798,7621,28799
28798,7623,28800
29815,7621,29816
29815,7623,29817
29821,7621,29822
29821,7623,29823
29828,7621,29829
29828,7623,29830
30890,7621,30891
30890,7623,30892
30963,30964,30965
30963,30966,30967
30963,30968,30969
30963,30970,30971
30963,30972,30973
30963,30974,30975
30963,30976,30977
30963,30978,30979
32906,7621,32907
32906,7623,32908
34218,7621,34219
34218,7623,34220
34231,7621,34232
34231,7623,34233
34240,7621,34241
34240,7623,34242
34250,7621,34251
34250,7623,34252
34263,7621,34264
34263,7623,34265
34286,10820,34287
34288,10829,34289
34601,10820,34602
34603,10829,34604
34632,10820,34633
34634,10829,34635
35928,7621,35929
35928,7623,35930
35936,7621,35937
35936,7623,35938
35944,7621,35945
35944,7623,35946
35952,7621,35953
35952,7623,35954
35960,7621,35961
35960,7623,35962
35968,7621,35969
35968,7623,35970
35976,7621,35977
35976,7623,35978
35984,7621,35985
35984,7623,35986
35991,7621,35992
35991,7623,35993
35998,7621,35999
35998,7623,36000
36005,7621,36006
36005,7623,36007
36012,7621,36013
36012,7623,36014
36019,7621,36020
36019,7623,36021
36026,7621,36027
36026,7623,36028
36033,7621,36034
36033,7623,36035
36039,7621,36040
36039,7623,36041
36045,7621,36046
36045,7623,36047
36051,7621,36052
36051,7623,36053
36057,7621,36058
36057,7623,36059
37754,10820,37755
37756,10829,37757
38047,10820,38048
38049,10829,38050
38346,10820,38347
38348,10829,38349
38354,10820,38355
38356,10829,38357
38362,10820,38363
38364,10829,38365
38370,10820,38371
38372,10829,38373
38378,10820,38379
38380,10829,38381
38386,10820,38387
38388,10829,38389
39345,10820,39346
39347,10829,39348
39352,10820,39353
39354,10829,39355
39359,10820,39360
39361,10829,39362
39369,10820,39370
39371,10829,39372
