"ID of element_id","num_lines","num_code","num_comment"
0,26,26,1
11,25,25,1
13,1,1,0
17,1,1,0
21,1,1,0
25,1,1,0
29,5,5,0
30,1,1,0
34,1,1,0
38,1,1,0
43,8,8,1
44,1,0,1
46,5,5,1
47,1,1,0
51,1,1,0
55,1,1,0
63,9,7,0
69,7,6,0
74,1,1,0
81,3,2,0
89,3,3,0
111,12,10,2
116,8,8,2
118,1,1,0
123,7,7,2
221,12,11,4
225,9,9,4
227,1,1,0
232,8,8,4
346,15,14,0
348,14,13,0
350,1,1,0
355,13,12,0
456,13,12,5
461,10,10,5
463,1,1,0
468,9,9,5
588,28,27,0
590,27,26,0
592,1,1,0
597,26,25,0
761,14,13,0
763,12,12,0
765,1,1,0
773,11,11,0
904,22,21,0
909,19,19,0
911,1,1,0
916,18,18,0
1880,15,14,6
1893,9,9,6
1895,1,1,0
1900,8,8,6
2035,14,14,4
2037,13,13,4
2039,1,1,0
2044,3,3,1
2061,3,3,1
2077,6,6,2
2123,29,27,0
2125,28,26,0
2127,1,1,0
2132,27,25,0
2314,10,10,0
2316,9,9,0
2318,1,1,0
2323,8,8,0
2387,12,7,0
2389,10,6,0
2390,1,1,0
2395,1,1,0
2397,1,1,0
2399,1,1,0
2404,1,1,0
2426,1,1,0
2445,22,8,9
2447,21,7,9
2449,1,1,0
2454,1,1,0
2461,1,1,0
2471,1,1,0
2478,1,1,0
2506,23,20,13
2511,18,17,13
2535,1,1,0
2586,9,9,7
2699,8,8,6
2701,7,7,5
2711,1,1,0
2770,20,19,0
2772,18,18,0
2774,1,1,0
2779,17,17,0
2808,11,11,0
2812,10,10,0
2813,1,1,0
2912,13,13,3
2914,12,12,3
2916,1,1,0
2921,11,11,3
3017,9,9,0
3019,8,8,0
3021,1,1,0
3026,7,7,0
3079,13,12,0
3081,11,11,0
3083,1,1,0
3088,10,10,0
3186,28,24,3
3188,2,2,0
3192,1,1,0
3203,4,4,1
3204,1,1,0
3214,3,3,1
3238,7,7,1
3239,1,1,0
3249,6,6,1
3321,7,7,1
3322,1,1,0
3332,6,6,1
3392,14,13,2
3397,11,11,2
3398,10,10,2
3402,1,1,0
3526,13,11,1
3528,4,4,1
3530,5,5,0
3558,3,3,0
3567,1,1,0
3621,9,8,0
3623,7,7,0
3625,1,1,0
3630,6,6,0
3680,15,11,0
3682,9,8,0
3684,1,1,0
3689,4,4,0
3690,3,3,0
3694,1,1,0
3714,3,2,0
3720,1,1,0
3721,1,1,0
3729,29,23,0
3734,25,21,0
3736,1,1,0
3741,3,3,0
3760,3,3,0
3779,3,3,0
3797,3,3,0
3816,3,3,0
3835,13,12,4
3837,11,11,4
3839,1,1,0
3844,10,10,4
3946,21,18,2
3952,17,15,2
3954,1,1,0
3959,16,14,2
4079,11,10,1
4081,9,9,1
4083,1,1,0
4088,8,8,1
4174,17,14,0
4176,2,2,0
4177,1,1,0
4185,1,1,0
4191,4,4,0
4192,1,1,0
4202,3,3,0
4218,5,5,0
4219,1,1,0
4229,3,3,0
4248,9,9,0
4250,8,8,0
4251,1,1,0
4259,7,7,0
4329,32,27,0
4331,30,26,0
4332,4,4,0
4337,4,4,0
4341,1,1,0
4346,3,3,0
4368,7,7,0
4400,7,7,0
4528,12,10,0
4533,9,8,0
4535,1,1,0
4540,7,7,0
4606,11,10,5
4608,10,9,5
4610,1,1,0
4615,9,8,5
4719,16,15,0
4721,15,14,0
4723,1,1,0
4728,14,13,0
4856,10,8,0
4858,3,3,0
4860,1,1,0
4865,1,1,0
4871,1,1,0
4877,3,3,0
4878,1,1,0
4886,1,1,0
4892,1,1,0
4898,3,3,0
4900,2,2,0
4915,1,1,0
4929,27,21,4
4931,25,20,4
4932,3,3,1
4936,1,1,0
4941,4,4,1
4961,3,3,1
4978,3,3,1
4988,3,3,0
4998,3,3,0
5024,16,11,0
5028,2,2,0
5032,1,1,0
5055,2,2,0
5059,1,1,0
5082,1,1,0
5083,1,1,0
5093,2,2,0
5097,1,1,0
5118,20,17,1
5120,8,8,1
5122,1,1,0
5127,7,7,1
5142,4,4,0
5150,1,1,0
5158,2,2,0
5166,1,1,0
5173,3,3,0
5182,1,1,0
5221,13,11,3
5226,9,9,3
5228,1,1,0
5233,8,8,3
5319,12,11,0
5321,10,10,0
5323,1,1,0
5328,9,9,0
5457,13,12,0
5459,5,5,0
5461,1,1,0
5466,4,4,0
5494,5,5,0
5495,1,1,0
5505,4,4,0
5527,6,6,1
5529,5,5,1
5531,1,1,0
5536,4,4,1
5574,6,5,0
5576,4,4,0
5577,3,3,0
5582,1,1,0
5615,7,7,0
5617,6,6,0
5618,5,5,0
5621,1,1,0
5648,22,19,0
5650,20,18,0
5651,3,3,0
5654,10,10,0
5657,4,4,0
5660,1,1,0
5791,6,6,0
5793,5,5,0
5794,4,4,0
5797,1,1,0
5824,8,8,0
5826,7,7,0
5827,6,6,0
5831,1,1,0
5871,6,6,0
5873,5,5,0
5874,4,4,0
5877,1,1,0
5904,3,3,0
5906,2,2,0
5907,1,1,0
5915,1,1,0
5921,6,5,0
5923,4,4,0
5924,1,1,0
5932,3,3,0
5950,29,25,4
5952,28,24,4
5956,1,1,0
5962,13,12,1
6046,13,10,3
6132,10,5,0
6134,1,1,0
6136,1,1,0
6140,1,1,0
6142,1,1,0
6143,1,1,0
6157,1,1,0
6158,1,1,0
6168,8,8,0
6170,7,7,0
6171,6,6,0
6175,1,1,0
6225,17,17,0
6227,16,16,0
6228,15,15,0
6232,1,1,0
6340,19,16,0
6350,15,13,0
6422,1,1,0
6434,12,11,0
6450,5,5,0
6471,3,3,0
6473,1,1,0
6772,1,1,0
6775,1,1,0
6796,22,17,1
6801,12,10,1
6803,1,1,0
6814,7,7,1
6844,1,1,0
6854,4,4,0
6855,1,1,0
6863,3,3,0
6877,9,8,0
6879,7,7,0
6881,1,1,0
6886,6,6,0
6944,9,9,0
6946,8,8,0
6948,1,1,0
6953,7,7,0
7013,18,17,0
7015,16,16,0
7017,1,1,0
7022,15,15,0
7132,19,13,3
7134,4,3,0
7152,1,1,0
7158,4,3,0
7178,1,1,0
7188,5,4,0
7189,1,1,0
7226,1,1,0
7244,9,7,3
7246,7,6,3
7261,1,1,0
7275,4,4,2
